titulo;autor;genero;paginas
Harry Potter e a Pedra Filosofal;J. K. Rowling;fantasia;20
Harry Potter e a Câmara Secreta;J. K. Rowling;fantasia;20
Harry Potter e o prisioneiro de Azkaban;J. K. Rowling;fantasia;20
Harry Potter e o Cálice de Fogo;J. K. Rowling;fantasia;20
Harry Potter e a Ordem da Fênix;J. K. Rowling;fantasia;20
Harry Potter e o enigma do príncipe;J. K. Rowling;fantasia;20
Harry Potter e as Relíquias da Morte;J. K. Rowling;fantasia;20
O Senhor dos Anéis: a Sociedade do Anel;J. R. R. Tolkien;fantasia;20
O Senhor dos Anéis: as duas torres;J. R. R. Tolkien;fantasia;20
O Senhor dos Anéis: o retorno do rei;J. R. R. Tolkien;fantasia;20
O Hobbit;J. R. R. Tolkien;fantasia;20
O Silmarillion;J. R. R. Tolkien;fantasia;20
As crônicas de gelo e fogo: a guerra dos tronos;George R. R. Martin;fantasia;20
As crônicas de gelo e fogo: a fúria dos reis;George R. R. Martin;fantasia;20
As crônicas de gelo e fogo: a tormenta de espadas;George R. R. Martin;fantasia;20
As crônicas de gelo e fogo: o festim dos corvos;George R. R. Martin;fantasia;20
As crônicas de gelo e fogo: a dança dos dragões;George R. R. Martin;fantasia;20
O rei do inverno;Bernard Cornwell;fantasia;20
O inimigo de Deus;Bernard Cornwell;fantasia;20
Excalibur;Bernard Cornwell;fantasia;20
O nome do vento;Patrick Rothfuss;fantasia;20
O temor do sábio;Patrick Rothfuss;fantasia;20
Androides sonham com ovelhas elétricas?;Philip K. Dick;ficcao_cientifica;20
Medo clássico – vol. 1;H. P. Lovecraft;fantasia;20
Frankenstein;Mary Shelley;fantasia;20
Fogo e sangue;George R. R. Martin;fantasia;20
It: a coisa;Stephen King;terror;20
Eragon;Christopher Paolini;fantasia;20
Eldest;Christopher Paolini;fantasia;20
Brisingr;Christopher Paolini;fantasia;20
Herança;Christopher Paolini;fantasia;20
Drácula;Bran Stoker;terror;20
Eu, robô;Isaac Asimov;ficcao_cientifica;20
Medo clássico;Edgar Allan Poe;terror;20
O cavaleiro dos Sete Reinos;George R. R. Martin;fantasia;20
O guia do mochileiro das galáxias;Douglas Adams;ficcao_cientifica;20
O restaurante no fim do universo;Douglas Adams;ficcao_cientifica;20
A vida, o universo e tudo mais;Douglas Adams;ficcao_cientifica;20
Até mais, e obrigado pelos peixes;Douglas Adams;ficcao_cientifica;20
Neuromancer;William Gibson;ficcao_cientifica;20
Count Zero;William Gibson;ficcao_cientifica;20
Mona Lisa Overdrive;William Gibson;ficcao_cientifica;20
A máquina do tempo;H. G. Wells;ficcao_cientifica;20
Fahrenheit 451;Ray Bradbury;ficcao_cientifica;20
Admirável mundo novo;Aldous Huxley;ficcao_cientifica;20
O conto da aia;Margaret Atwood;ficcao_cientifica;20
A batalha do apocalipse;Eduardo Spohr;fantasia;20
Filhos do Éden: herdeiros de Atlântida;Eduardo Spohr;fantasia;20
Filhos do Éden: anjos da morte;Eduardo Spohr;fantasia;20
Filhos do Éden: paraíso perdido;Eduardo Spohr;fantasia;20
Percy Jackson e os olimpianos: o ladrão de raios;Rick Riordan;fantasia;20
Percy Jackson e os olimpianos: o mar de monstros;Rick Riordan;fantasia;20
Percy Jackson e os olimpianos: a maldição do titã;Rick Riordan;fantasia;20
Percy Jackson e os olimpianos: a batalha do labirinto;Rick Riordan;fantasia;20
Percy Jackson e os olimpianos: o último olimpiano;Rick Riordan;fantasia;20
O homem do castelo alto;Philip K. Dick;ficcao_cientifica;20
A Torre Negra: o pistoleiro;Stephen King;terror;20
A Torre Negra: a escolha dos três;Stephen King;terror;20
A Torre Negra: as terras devastadas;Stephen King;terror;20
A Torre Negra: mago e vidro;Stephen King;terror;20
A Torre Negra: lobos de Calla;Stephen King;terror;20
A Torre Negra: canção de Suzannah;Stephen King;terror;20
A Torre Negra: a Torre Negra;Stephen King;terror;20
A Torre Negra: o vento pela fechadura;Stephen King;terror;20
1984;George Orwell;ficcao_cientifica;20
Nós;Levgueni Zamiatin;ficcao_cientifica;20
Psicose;Robert Bloch;terror;20
Fundação;Isaac Asimov;ficcao_cientifica;20
Fundação e Império;Isaac Asimov;ficcao_cientifica;20
Segunda Fundação;Isaac Asimov;ficcao_cientifica;20
Limites da Fundação;Isaac Asimov;ficcao_cientifica;20
Fundação e Terra;Isaac Asimov;ficcao_cientifica;20
Prelúdio à Fundação;Isaac Asimov;ficcao_cientifica;20
Origens da Fundação;Isaac Asimov;ficcao_cientifica;20
2001: uma odisseia no espaço;Arthur C. Clark;ficcao_cientifica;20
O planeta dos macacos;Pierre Boulle;ficcao_cientifica;20
A guerra dos mundos;H. G. Wells;ficcao_cientifica;20
Laranja mecânica;Anthony Burgess;ficcao_cientifica;20
Jogos vorazes;Suzanne Collins;ficcao_cientifica;20
Em chamas;Suzanne Collins;ficcao_cientifica;20
A esperança;Suzanne Collins;ficcao_cientifica;20
As crônicas de Nárnia;C. S. Lewis;fantasia;20
As brumas de Avalon;Marion Zimmer Bradley;fantasia;20
O iluminado;Stephen King;terror;20
Filhos da degradação: Ordem Vermelha;Felipe Castilho;fantasia;20
O exorcista;William Peter Blatty;terror;20
O bebê de Rosemary;Ira Levin;terror;20
O silêncio dos inocentes;Thomas Harris;terror;20
Hannibal;Thomas Harris;terror;20
Dragão vermelho;Thomas Harris;terror;20
Duna;Frank Herbert;fantasia;20
O Messias de Duna;Frank Herbert;fantasia;20
Os filhos de Duna;Frank Herbert;fantasia;20
O Imperador-Deus de Duna;Frank Herbert;fantasia;20
Os hereges de Duna;Frank Herbert;fantasia;20
As herdeiras de Duna;Frank Herbert;fantasia;20
Jurassic Park;Michael Crichton;fantasia;20
O mundo perdido;Michael Crichton;fantasia;20
As crônicas marcianas;Ray Bradbury;fantasia;20
A bússola de ouro;Philip Pullman;fantasia;20
A faca sutil;Philip Pullman;fantasia;20
A luneta âmbar;Philip Pullman;fantasia;20
